tid	entries	bytes	title
T282	101	15286	Mahler measures of $x+x^{-1}+y+y^{-1}+k$
T283	4	6756	Mahler measures of $1+x_1+\dots+x_{n-1}$ (short random walks
T284	47	20125	Salem numbers less than 1.3
T285	5	5268	Minimum dilatations of pseudo-Anosov maps with orientable in
T286	50	18526	Pisot numbers less than the golden ratio
T287	10	5548	Roots of the $k$-XORSAT threshold equation
T288	35	13003	Roots of the cuckoo hashing threshold equation
T289	42	14836	Minimisers in the core threshold formula of random $k$-unifo
T290	87	53238	Bernstein-Sato polynomials of the simple and unimodal singul
T291	87	19056	Characteristic polynomials of the monodromy of the simple an
T292	572	128198	Special $L$-values of elliptic curves over real quadratic fi
T293	32	13825	Regulators of elliptic curves over real quadratic fields
